Date,Open,High,Low,Close,Adj Close,Volume
2016-08-17,3.380000,3.380000,3.380000,3.380000,3.380000,0
2016-08-18,3.380000,3.380000,3.380000,3.380000,3.380000,0
2016-08-19,3.540000,3.540000,3.540000,3.540000,3.540000,9
2016-08-22,3.540000,3.540000,3.540000,3.540000,3.540000,0
2016-08-23,3.370000,3.370000,3.370000,3.370000,3.370000,5
2016-08-24,3.370000,3.370000,3.370000,3.370000,3.370000,0
2016-08-25,3.370000,3.370000,3.370000,3.370000,3.370000,0
2016-08-26,3.370000,3.370000,3.370000,3.370000,3.370000,0
2016-08-29,3.370000,3.370000,3.370000,3.370000,3.370000,0
2016-08-30,3.210000,3.210000,3.210000,3.210000,3.210000,5
2016-08-31,3.210000,3.210000,3.210000,3.210000,3.210000,0
2016-09-01,3.210000,3.210000,3.210000,3.210000,3.210000,0
2016-09-02,3.210000,3.210000,3.210000,3.210000,3.210000,0
2016-09-06,3.210000,3.210000,3.210000,3.210000,3.210000,0
2016-09-07,3.210000,3.210000,3.210000,3.210000,3.210000,0
2016-09-08,3.210000,3.210000,3.210000,3.210000,3.210000,0
2016-09-09,3.210000,3.210000,3.210000,3.210000,3.210000,3
2016-09-12,3.210000,3.210000,3.210000,3.210000,3.210000,0
2016-09-14,3.210000,3.210000,3.210000,3.210000,3.210000,0
2016-09-15,3.210000,3.210000,3.210000,3.210000,3.210000,0
2016-09-16,3.210000,3.210000,3.210000,3.210000,3.210000,0
2016-09-19,3.210000,3.210000,3.210000,3.210000,3.210000,0
2016-09-20,3.210000,3.210000,3.210000,3.210000,3.210000,0
2016-09-21,3.210000,3.210000,3.210000,3.210000,3.210000,0
2016-09-22,3.210000,3.210000,3.210000,3.210000,3.210000,0
2016-09-23,3.210000,3.210000,3.210000,3.210000,3.210000,0
2016-09-26,3.210000,3.210000,3.210000,3.210000,3.210000,0
2016-09-27,3.370000,3.370000,3.060000,3.060000,3.060000,105
2016-09-28,3.000000,3.000000,3.000000,3.000000,3.000000,997
2016-09-29,2.870000,2.870000,2.870000,2.870000,2.870000,3
2016-09-30,2.870000,2.870000,2.870000,2.870000,2.870000,0
2016-10-03,2.870000,2.870000,2.870000,2.870000,2.870000,0
2016-10-04,2.730000,2.730000,2.730000,2.730000,2.730000,154
2016-10-05,2.730000,2.730000,2.730000,2.730000,2.730000,0
2016-10-06,2.730000,2.730000,2.730000,2.730000,2.730000,0
2016-10-07,2.730000,2.730000,2.730000,2.730000,2.730000,0
2016-10-10,2.730000,2.730000,2.730000,2.730000,2.730000,0
2016-10-13,2.610000,2.610000,2.610000,2.610000,2.610000,1
2016-10-14,2.610000,2.610000,2.610000,2.610000,2.610000,0
2016-10-17,2.610000,2.610000,2.610000,2.610000,2.610000,0
2016-10-18,2.740000,2.740000,2.740000,2.740000,2.740000,10
2016-10-19,2.740000,2.740000,2.740000,2.740000,2.740000,0
2016-10-20,2.740000,2.740000,2.740000,2.740000,2.740000,0
2016-10-21,2.740000,2.740000,2.740000,2.740000,2.740000,0
2016-10-24,2.740000,2.740000,2.740000,2.740000,2.740000,0
2016-10-25,2.740000,2.740000,2.740000,2.740000,2.740000,0
2016-10-26,2.740000,2.740000,2.740000,2.740000,2.740000,0
2016-10-27,2.740000,2.740000,2.740000,2.740000,2.740000,0
2016-10-28,2.740000,2.740000,2.740000,2.740000,2.740000,0
2016-11-01,2.740000,2.740000,2.740000,2.740000,2.740000,0
2016-11-02,2.740000,2.740000,2.740000,2.740000,2.740000,0
2016-11-03,2.740000,2.740000,2.740000,2.740000,2.740000,0
2016-11-04,2.740000,2.740000,2.740000,2.740000,2.740000,0
2016-11-07,2.610000,2.610000,2.610000,2.610000,2.610000,100
2016-11-08,2.480000,2.480000,2.480000,2.480000,2.480000,10
2016-11-09,2.480000,2.480000,2.480000,2.480000,2.480000,0
